日期Date,指数代码Index Code,指数中文全称Index Chinese Name(Full),指数中文简称Index Chinese Name,指数英文全称Index English Name(Full),指数英文简称Index Chinese Name,开盘Open,最高High,最低Low,收盘Close,涨跌Change,涨跌幅(%)Change(%),成交量（万手）Volume(M Shares),成交金额（亿元）Turnover,样本数量ConsNumber
20211224,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4953.06,4964.91,4905.98,4921.34,-27.39,-0.55,14267.33,2904.84,300
20211227,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4918.15,4939.69,4894.16,4919.32,-2.02,-0.04,12410.10,2544.22,300
20211228,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4923.69,4959.14,4913.60,4955.96,36.64,0.74,13045.78,2763.17,300
20211229,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4958.65,4958.65,4883.48,4883.48,-72.48,-1.46,11358.70,2732.25,300
20211230,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4882.16,4940.18,4878.65,4921.51,38.03,0.78,12161.72,2680.22,300
20211231,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4937.46,4950.36,4923.14,4940.37,18.86,0.38,12131.37,2669.75,300
20220104,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4957.98,4961.45,4874.53,4917.77,-22.61,-0.46,15153.48,3365.17,300
20220105,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4907.93,4916.28,4851.98,4868.12,-49.65,-1.01,17881.61,3639.45,300
20220106,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4842.16,4857.56,4786.43,4818.23,-49.89,-1.02,15766.58,3217.50,300
20220107,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4824.32,4856.65,4818.19,4822.37,4.14,0.09,18713.94,3322.19,300
20220110,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4812.23,4844.39,4780.82,4844.05,21.68,0.45,15621.17,3050.34,300
20220111,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4840.01,4850.88,4791.89,4797.77,-46.27,-0.96,14692.80,2864.46,300
20220112,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4818.89,4852.73,4810.92,4845.58,47.81,1.00,14320.02,2931.53,300
20220113,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4853.03,4853.06,4765.24,4765.92,-79.66,-1.64,14251.97,2887.99,300
20220114,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4743.91,4764.05,4723.94,4726.73,-39.19,-0.82,14686.31,2818.28,300
20220117,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4728.76,4775.24,4726.71,4767.28,40.54,0.86,11529.57,2637.88,300
20220118,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4766.78,4826.30,4747.92,4813.35,46.07,0.97,15087.08,2827.49,300
20220119,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4815.81,4828.75,4755.93,4780.38,-32.97,-0.68,13392.74,2755.35,300
20220120,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4778.26,4845.00,4777.57,4823.51,43.13,0.90,16497.13,3043.44,300
20220121,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4808.77,4818.31,4762.56,4779.31,-44.19,-0.92,13895.26,2746.99,300
20220124,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4753.94,4801.10,4746.45,4786.74,7.42,0.16,11446.39,2462.62,300
20220125,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4761.95,4781.39,4678.25,4678.45,-108.29,-2.26,13366.76,2505.56,300
20220126,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4697.10,4718.99,4648.13,4712.31,33.86,0.72,10707.08,2265.53,300
20220127,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4708.10,4708.44,4616.03,4619.88,-92.43,-1.96,12126.38,2505.36,300
20220128,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4641.81,4660.52,4559.83,4563.77,-56.10,-1.21,12648.01,2639.68,300
20220207,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4638.58,4672.65,4615.01,4634.09,70.32,1.54,14484.97,2660.32,300
20220208,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4626.44,4626.44,4522.47,4608.77,-25.32,-0.55,15583.07,2813.65,300
20220209,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4608.15,4659.46,4595.28,4652.06,43.29,0.94,14833.55,2737.72,300
20220210,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4657.21,4657.21,4608.09,4639.86,-12.20,-0.26,15157.67,2872.24,300
20220211,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4617.87,4662.60,4595.88,4601.40,-38.47,-0.83,15597.46,3079.38,300
20220214,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4579.42,4593.63,4530.06,4551.69,-49.71,-1.08,14367.39,2757.38,300
20220215,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4553.81,4601.45,4550.54,4600.10,48.41,1.06,11502.56,2499.77,300
20220216,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4619.85,4643.10,4607.22,4617.99,17.89,0.39,10725.90,2101.91,300
20220217,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4616.90,4650.16,4606.95,4629.16,11.18,0.24,11001.46,2279.46,300
20220218,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4604.57,4651.34,4598.10,4651.24,22.07,0.48,10455.02,1958.26,300
20220221,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4646.05,4646.67,4613.30,4634.31,-16.92,-0.36,11251.65,2150.39,300
20220222,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4601.92,4602.07,4550.80,4574.15,-60.16,-1.30,12331.72,2468.73,300
20220223,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4582.01,4625.30,4579.29,4623.05,48.89,1.07,12295.29,2590.50,300
20220224,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4592.07,4610.88,4488.48,4529.32,-93.73,-2.03,18440.31,3423.47,300
20220225,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4564.63,4611.86,4561.90,4573.42,44.11,0.97,14972.26,2717.28,300
20220228,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4563.74,4581.65,4530.68,4581.65,8.22,0.18,13540.70,2483.64,300
20220301,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4597.86,4623.43,4583.92,4619.69,38.04,0.83,12313.92,2604.31,300
20220302,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4594.02,4594.02,4558.44,4578.60,-41.09,-0.89,11329.83,2153.00,300
20220303,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4595.02,4599.40,4544.43,4551.63,-26.97,-0.59,13828.59,2427.02,300
20220304,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4513.36,4539.39,4481.49,4496.43,-55.20,-1.21,12726.68,2499.70,300
20220307,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4462.52,4462.52,4338.30,4352.78,-143.65,-3.19,16219.77,3068.99,300
20220308,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4361.64,4383.65,4252.54,4265.39,-87.39,-2.01,16786.33,3151.77,300
20220309,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4280.98,4304.48,4068.19,4226.35,-39.04,-0.92,19423.29,3410.09,300
20220310,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4326.20,4335.67,4288.51,4292.84,66.49,1.57,14526.64,3016.36,300
20220311,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4231.20,4316.04,4176.45,4306.52,13.68,0.32,15239.99,2950.09,300
20220314,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4248.15,4280.36,4174.76,4174.76,-131.76,-3.06,13018.72,2606.92,300
20220315,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4125.49,4163.42,3983.81,3983.81,-190.95,-4.57,20252.47,3469.89,300
20220316,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4053.10,4168.59,3942.86,4156.08,172.27,4.32,19602.20,3788.84,300
20220317,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4237.67,4302.74,4217.80,4237.70,81.61,1.96,17940.73,3850.39,300
20220318,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4218.47,4283.37,4194.94,4265.90,28.21,0.67,14945.83,2757.91,300
20220321,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4280.14,4287.82,4223.02,4258.75,-7.16,-0.17,12703.64,2512.15,300
20220322,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4252.57,4283.33,4236.69,4255.30,-3.45,-0.08,12638.25,2262.14,300
20220323,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4269.61,4287.58,4241.96,4276.52,21.22,0.50,11708.91,2263.91,300
20220324,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4249.53,4273.96,4216.85,4251.31,-25.21,-0.59,10891.83,2195.94,300
20220325,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4249.07,4254.84,4173.93,4174.57,-76.73,-1.80,10880.80,2170.13,300
20220328,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4128.84,4174.12,4091.30,4148.47,-26.11,-0.63,11844.90,2134.69,300
20220329,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4155.42,4177.21,4124.72,4134.14,-14.32,-0.35,10026.70,1994.64,300
20220330,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4162.17,4254.10,4160.74,4254.10,119.95,2.90,13834.60,2688.69,300
20220331,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4234.72,4247.36,4214.54,4222.60,-31.50,-0.74,13402.92,2388.77,300
20220401,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4198.82,4290.67,4190.08,4276.16,53.56,1.27,13380.31,2447.59,300
20220406,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4258.83,4277.52,4236.73,4263.84,-12.32,-0.29,15906.22,2536.91,300
20220407,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4240.02,4278.11,4205.74,4209.10,-54.74,-1.28,13488.04,2169.96,300
20220408,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4213.21,4237.81,4175.53,4230.77,21.67,0.51,14284.38,2290.82,300
20220411,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4203.79,4203.79,4089.09,4100.07,-130.70,-3.09,14819.71,2652.25,300
20220412,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4102.97,4179.97,4075.80,4179.97,79.90,1.95,14428.57,2528.30,300
20220413,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4154.41,4194.04,4139.74,4139.74,-40.24,-0.96,12509.75,2212.81,300
20220414,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4172.64,4217.06,4155.55,4191.57,51.83,1.25,12479.13,2459.94,300
20220415,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4162.37,4211.32,4152.97,4188.75,-2.82,-0.07,12476.23,2262.30,300
20220418,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4152.93,4171.74,4119.99,4166.38,-22.36,-0.53,11750.46,2128.55,300
20220419,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4161.93,4186.94,4115.42,4134.90,-31.48,-0.76,11021.75,2085.71,300
20220420,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4130.54,4136.17,4060.50,4070.79,-64.11,-1.55,11733.17,2165.37,300
20220421,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4048.73,4086.44,3978.37,3995.83,-74.96,-1.84,13278.38,2270.27,300
20220422,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3967.20,4037.08,3953.72,4013.25,17.42,0.44,12210.18,2063.72,300
20220425,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3933.45,3958.21,3814.91,3814.91,-198.34,-4.94,16836.45,2728.89,300
20220426,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3822.49,3871.85,3773.90,3784.12,-30.79,-0.81,15757.76,2596.26,300
20220427,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3758.08,3895.73,3757.09,3895.54,111.42,2.94,17273.40,2969.24,300
20220428,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3883.42,3943.43,3873.58,3921.11,25.57,0.66,15305.66,2685.02,300
20220429,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3939.62,4017.43,3898.57,4016.24,95.13,2.43,17945.84,3214.15,300
20220505,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3995.35,4039.70,3988.93,4010.21,-6.03,-0.15,15417.07,2905.38,300
20220506,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3928.85,3947.24,3902.05,3908.82,-101.40,-2.53,12300.56,2148.25,300
